Trip_Type,Surroundings,Room_Type,Season,Duration_Days,Activity_To_Perform,Budget_INR,Destination
Honeymoon Trip,Hills,Hostel Dorm,Spring,9,Honeymoon Cruise,72597,Kerala
Adventure Trip,Backwaters,Camping,Winter,6,Scuba Diving,72597,Kerala
Romantic Getaway,Temples,Beachfront Resort,Monsoon,8,Relaxation,72597,Madhya Pradesh
Solo Trip,Hills,Homestay,Summer,6,Skiing,72597,West Bengal
Backpacking Trip,French Colony,Ashram Accommodation,Spring,7,Motorcycling,72597,Puducherry
Group Trip,Hills,Luxury Hotel,Summer,4,Sightseeing,72597,West Bengal
Group Trip,Religious Town,Jungle Lodge,Spring,6,Heritage Walk,72597,Uttar Pradesh
Romantic Getaway,Mountains,Jungle Lodge,Winter,7,Ayurvedic Spa,72597,Ladakh
Pilgrimage Trip,Forest,Homestay,Winter,7,Religious visit,72597,Maharashtra
Family Trip,Mountains,Hostel Dorm,Autumn,10,Toy Train Ride,72597,Himachal Pradesh
Romantic Getaway,Mountains,Heritage Hotel,Monsoon,5,Honeymoon Cruise,72597,Uttarakhand
Romantic Getaway,Hills,Hostel Dorm,Spring,6,Honeymoon Cruise,72597,West Bengal
Adventure Trip,Deserts,Hostel Dorm,Spring,10,Scuba Diving,72597,Rajasthan
Adventure Trip,Mountains,Ashram Accommodation,Autumn,9,Trekking,72597,Uttarakhand
Family Trip,Temple Town,Ashram Accommodation,Autumn,6,Relaxation,72597,Maharashtra
Solo Trip,Hills,Beachfront Villa,Monsoon,8,Relaxation,72597,West Bengal
Backpacking Trip,Mountains,Homestay,Autumn,4,Heritage Walk,72597,Jammu and Kashmir
Wildlife Trip,Beach,Hostel Dorm,Spring,3,Safari,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Hills,Luxury Hotel,Monsoon,5,Religious visit,72597,West Bengal
Backpacking Trip,Backwaters,Beachfront Resort,Winter,8,Motorcycling,72597,Kerala
Cultural Trip,Desert,Luxury Hotel,Winter,4,Temple hopping,72597,Ladakh
Backpacking Trip,Mountains,Beachfront Resort,Summer,4,Camping,72597,Uttarakhand
Solo Trip,Mountains,Luxury Hotel,Summer,7,Trekking,72597,Jammu and Kashmir
Honeymoon Trip,Desert,Hostel Dorm,Spring,3,Scuba Diving,72597,Ladakh
Group Trip,French Colony,Homestay,Winter,5,Toy Train Ride,72597,Puducherry
Group Trip,French Colony,Homestay,Winter,10,Relaxation,72597,Puducherry
Cultural Trip,Mountains,Homestay,Autumn,2,Temple hopping,72597,Uttarakhand
Family Trip,Backwaters,Houseboat,Summer,3,Relaxation,72597,Kerala
Backpacking Trip,Beach,Ashram Accommodation,Spring,6,Heritage Walk,72597,Goa
Group Trip,Beach,Homestay,Winter,5,Sightseeing,72597,Goa
Honeymoon Trip,Hills,Heritage Hotel,Winter,7,Relaxation,72597,Kerala
Romantic Getaway,Beach,Jungle Lodge,Spring,10,Relaxation,72597,Andaman & Nicobar Islands
Solo Trip,Beach,Heritage Hotel,Winter,5,Motorcycling,72597,Andaman & Nicobar Islands
Adventure Trip,City,Camping,Winter,6,White Water Rafting,72597,Uttar Pradesh
Honeymoon Trip,Forest,Hostel Dorm,Autumn,3,Honeymoon Cruise,72597,Maharashtra
Cultural Trip,Religious Town,Beachfront Resort,Autumn,10,Heritage Walk,72597,Uttar Pradesh
Cultural Trip,Forest,Beachfront Villa,Monsoon,4,Temple hopping,72597,Madhya Pradesh
Adventure Trip,Royal Palaces,Hostel Dorm,Spring,10,Scuba Diving,72597,Rajasthan
Cultural Trip,Mountains,Houseboat,Autumn,8,Heritage Walk,72597,Jammu and Kashmir
Pilgrimage Trip,Religious Town,Heritage Hotel,Spring,7,Religious visit,72597,Uttar Pradesh
Pilgrimage Trip,Beach,Ashram Accommodation,Autumn,8,Religious visit,72597,Andaman & Nicobar Islands
Solo Trip,Mountains,Hostel Dorm,Spring,6,Trekking,72597,Uttarakhand
Group Trip,Mountains,Camping,Autumn,10,Heritage Walk,72597,Uttarakhand
Adventure Trip,Hills,Houseboat,Monsoon,3,Motorcycling,72597,Kerala
Honeymoon Trip,Backwaters,Houseboat,Spring,6,Scuba Diving,72597,Kerala
Group Trip,Backwaters,Beachfront Resort,Summer,10,Heritage Walk,72597,Kerala
Honeymoon Trip,Desert,Heritage Hotel,Winter,5,Ayurvedic Spa,72597,Ladakh
Cultural Trip,Beach,Heritage Hotel,Spring,6,Heritage Walk,72597,Andaman & Nicobar Islands
Solo Trip,Hills,Camping,Spring,9,Motorcycling,72597,Kerala
Group Trip,Hills,Jungle Lodge,Autumn,2,Sightseeing,72597,West Bengal
Wildlife Trip,French Colony,Jungle Lodge,Winter,9,Safari,72597,Puducherry
Adventure Trip,Forest,Heritage Hotel,Winter,3,Trekking,72597,Maharashtra
Family Trip,Temple Town,Ashram Accommodation,Spring,5,Toy Train Ride,72597,Maharashtra
Wildlife Trip,Backwaters,Houseboat,Summer,2,Safari,72597,Kerala
Pilgrimage Trip,City,Ashram Accommodation,Summer,5,Religious visit,72597,Uttar Pradesh
Family Trip,Hills,Beachfront Resort,Winter,8,Relaxation,72597,West Bengal
Family Trip,French Colony,Heritage Hotel,Monsoon,7,Heritage Walk,72597,Puducherry
Honeymoon Trip,Temples,Houseboat,Autumn,10,Ayurvedic Spa,72597,Madhya Pradesh
Solo Trip,Backwaters,Beachfront Villa,Autumn,2,Trekking,72597,Kerala
Wildlife Trip,Mountains,Houseboat,Winter,6,Safari,72597,Himachal Pradesh
Pilgrimage Trip,Forest,Houseboat,Monsoon,5,Religious visit,72597,Madhya Pradesh
Family Trip,Mountains,Luxury Hotel,Autumn,9,Toy Train Ride,72597,Himachal Pradesh
Pilgrimage Trip,Hills,Heritage Hotel,Autumn,6,Religious visit,72597,Kerala
Pilgrimage Trip,Mountains,Houseboat,Monsoon,7,Religious visit,72597,Himachal Pradesh
Family Trip,Backwaters,Houseboat,Autumn,3,Heritage Walk,72597,Kerala
Group Trip,Forest,Houseboat,Monsoon,4,Sightseeing,72597,Madhya Pradesh
Romantic Getaway,Backwaters,Homestay,Summer,5,Relaxation,72597,Kerala
Romantic Getaway,Hills,Hostel Dorm,Summer,9,Honeymoon Cruise,72597,West Bengal
Honeymoon Trip,Hills,Ashram Accommodation,Autumn,3,Ayurvedic Spa,72597,West Bengal
Group Trip,Royal Palaces,Hostel Dorm,Monsoon,2,Sightseeing,72597,Rajasthan
Backpacking Trip,Mountains,Luxury Hotel,Winter,6,Trekking,72597,Jammu and Kashmir
Group Trip,Islands,Houseboat,Spring,9,Relaxation,72597,Andaman & Nicobar Islands
Adventure Trip,Mountains,Luxury Hotel,Summer,10,Trekking,72597,Himachal Pradesh
Family Trip,Forest,Beachfront Villa,Monsoon,3,Sightseeing,72597,Maharashtra
Family Trip,Backwaters,Beachfront Resort,Autumn,10,Ayurvedic Spa,72597,Kerala
Solo Trip,Islands,Hostel Dorm,Autumn,6,Skiing,72597,Andaman & Nicobar Islands
Family Trip,Mountains,Camping,Spring,3,Heritage Walk,72597,Uttarakhand
Cultural Trip,Backwaters,Beachfront Villa,Winter,9,Temple hopping,72597,Kerala
Romantic Getaway,Backwaters,Ashram Accommodation,Spring,10,Scuba Diving,72597,Kerala
Adventure Trip,Forest,Houseboat,Winter,5,White Water Rafting,72597,Madhya Pradesh
Cultural Trip,Beach,Beachfront Villa,Autumn,8,Temple hopping,72597,Goa
Cultural Trip,Backwaters,Jungle Lodge,Summer,5,Temple hopping,72597,Kerala
Cultural Trip,Forest,Beachfront Resort,Winter,6,Temple hopping,72597,Maharashtra
Wildlife Trip,Mountains,Houseboat,Winter,8,Safari,72597,Ladakh
Cultural Trip,Mountains,Jungle Lodge,Monsoon,3,Temple hopping,72597,Ladakh
Wildlife Trip,Hills,Hostel Dorm,Winter,7,Safari,72597,West Bengal
Cultural Trip,Deserts,Jungle Lodge,Spring,4,Temple hopping,72597,Rajasthan
Adventure Trip,Temples,Heritage Hotel,Autumn,10,Motorcycling,72597,Madhya Pradesh
Adventure Trip,Royal Palaces,Heritage Hotel,Summer,5,White Water Rafting,72597,Rajasthan
Family Trip,Mountains,Ashram Accommodation,Autumn,9,Heritage Walk,72597,Uttarakhand
Solo Trip,Forest,Camping,Autumn,10,Skiing,72597,Madhya Pradesh
Honeymoon Trip,Royal Palaces,Homestay,Winter,4,Sightseeing,72597,Rajasthan
Pilgrimage Trip,Backwaters,Beachfront Resort,Spring,2,Religious visit,72597,Kerala
Backpacking Trip,City,Ashram Accommodation,Monsoon,7,Trekking,72597,Uttar Pradesh
Solo Trip,Temples,Luxury Hotel,Winter,9,Relaxation,72597,Madhya Pradesh
Family Trip,Forest,Beachfront Villa,Autumn,5,Toy Train Ride,72597,Maharashtra
Cultural Trip,Temple Town,Jungle Lodge,Summer,10,Heritage Walk,72597,Maharashtra
Group Trip,Backwaters,Heritage Hotel,Summer,4,Heritage Walk,72597,Kerala
Solo Trip,Religious Town,Heritage Hotel,Winter,7,Trekking,72597,Uttar Pradesh
Romantic Getaway,Temple Town,Hostel Dorm,Monsoon,5,Relaxation,72597,Maharashtra
Cultural Trip,Mountains,Hostel Dorm,Autumn,3,Temple hopping,72597,Ladakh
Family Trip,Hills,Heritage Hotel,Autumn,7,Heritage Walk,72597,West Bengal
Solo Trip,French Colony,Beachfront Villa,Monsoon,7,Skiing,72597,Puducherry
Backpacking Trip,Hills,Hostel Dorm,Autumn,6,Trekking,72597,West Bengal
Solo Trip,Temples,Ashram Accommodation,Spring,7,Motorcycling,72597,Madhya Pradesh
Solo Trip,Religious Town,Hostel Dorm,Autumn,7,Motorcycling,72597,Uttar Pradesh
Adventure Trip,Mountains,Hostel Dorm,Summer,10,Camping,72597,Uttarakhand
Honeymoon Trip,Mountains,Hostel Dorm,Spring,8,Scuba Diving,72597,Jammu and Kashmir
Honeymoon Trip,Forest,Homestay,Monsoon,5,Sightseeing,72597,Madhya Pradesh
Group Trip,Mountains,Houseboat,Autumn,3,Temple hopping,72597,Himachal Pradesh
Solo Trip,Mountains,Camping,Monsoon,10,Motorcycling,72597,Uttarakhand
Cultural Trip,Forest,Hostel Dorm,Summer,7,Temple hopping,72597,Madhya Pradesh
Pilgrimage Trip,City,Beachfront Resort,Spring,6,Religious visit,72597,Uttar Pradesh
Honeymoon Trip,City,Ashram Accommodation,Spring,5,Ayurvedic Spa,72597,Uttar Pradesh
Solo Trip,Backwaters,Heritage Hotel,Monsoon,8,Relaxation,72597,Kerala
Wildlife Trip,Forest,Heritage Hotel,Autumn,6,Safari,72597,Maharashtra
Adventure Trip,Desert,Luxury Hotel,Autumn,2,Motorcycling,72597,Ladakh
Honeymoon Trip,French Colony,Heritage Hotel,Spring,6,Ayurvedic Spa,72597,Puducherry
Solo Trip,Temples,Hostel Dorm,Winter,3,Relaxation,72597,Madhya Pradesh
Romantic Getaway,Backwaters,Camping,Monsoon,2,Scuba Diving,72597,Kerala
Family Trip,Desert,Ashram Accommodation,Autumn,10,Ayurvedic Spa,72597,Ladakh
Romantic Getaway,Mountains,Jungle Lodge,Monsoon,3,Relaxation,72597,Himachal Pradesh
Backpacking Trip,Backwaters,Camping,Autumn,3,Heritage Walk,72597,Kerala
Honeymoon Trip,Forest,Camping,Autumn,5,Ayurvedic Spa,72597,Maharashtra
Group Trip,Mountains,Luxury Hotel,Summer,6,Toy Train Ride,72597,Himachal Pradesh
Cultural Trip,Deserts,Hostel Dorm,Spring,7,Heritage Walk,72597,Rajasthan
Honeymoon Trip,Temples,Ashram Accommodation,Summer,4,Relaxation,72597,Madhya Pradesh
Family Trip,Mountains,Heritage Hotel,Winter,4,Relaxation,72597,Uttarakhand
Group Trip,Forest,Beachfront Villa,Winter,2,Sightseeing,72597,Maharashtra
Group Trip,Religious Town,Hostel Dorm,Winter,9,Heritage Walk,72597,Uttar Pradesh
Pilgrimage Trip,Mountains,Jungle Lodge,Summer,10,Religious visit,72597,Jammu and Kashmir
Adventure Trip,Hills,Beachfront Villa,Summer,10,White Water Rafting,72597,Kerala
Backpacking Trip,Hills,Beachfront Villa,Winter,9,Camping,72597,Kerala
Romantic Getaway,Forest,Hostel Dorm,Spring,4,Relaxation,72597,Maharashtra
Backpacking Trip,Mountains,Camping,Spring,7,Heritage Walk,72597,Jammu and Kashmir
Family Trip,Beach,Camping,Autumn,6,Ayurvedic Spa,72597,Goa
Backpacking Trip,Mountains,Heritage Hotel,Autumn,4,Motorcycling,72597,Himachal Pradesh
Romantic Getaway,Backwaters,Houseboat,Monsoon,10,Relaxation,72597,Kerala
Honeymoon Trip,Backwaters,Hostel Dorm,Winter,2,Sightseeing,72597,Kerala
Family Trip,Desert,Jungle Lodge,Autumn,6,Sightseeing,72597,Ladakh
Romantic Getaway,Hills,Luxury Hotel,Winter,2,Honeymoon Cruise,72597,West Bengal
Backpacking Trip,Mountains,Hostel Dorm,Summer,3,Trekking,72597,Jammu and Kashmir
Honeymoon Trip,Mountains,Beachfront Resort,Spring,3,Sightseeing,72597,Himachal Pradesh
Solo Trip,Mountains,Jungle Lodge,Summer,4,Skiing,72597,Himachal Pradesh
Honeymoon Trip,Temple Town,Beachfront Villa,Autumn,4,Sightseeing,72597,Maharashtra
Pilgrimage Trip,French Colony,Jungle Lodge,Autumn,5,Religious visit,72597,Puducherry
Honeymoon Trip,Mountains,Jungle Lodge,Monsoon,7,Honeymoon Cruise,72597,Himachal Pradesh
Romantic Getaway,Desert,Houseboat,Spring,8,Honeymoon Cruise,72597,Ladakh
Group Trip,Beach,Houseboat,Winter,6,Relaxation,72597,Goa
Cultural Trip,French Colony,Heritage Hotel,Winter,4,Temple hopping,72597,Puducherry
Pilgrimage Trip,Hills,Houseboat,Monsoon,9,Religious visit,72597,West Bengal
Honeymoon Trip,Hills,Homestay,Autumn,4,Scuba Diving,72597,West Bengal
Honeymoon Trip,Hills,Camping,Winter,7,Ayurvedic Spa,72597,West Bengal
Solo Trip,Religious Town,Ashram Accommodation,Monsoon,6,Skiing,72597,Uttar Pradesh
Wildlife Trip,City,Luxury Hotel,Spring,4,Safari,72597,Uttar Pradesh
Group Trip,Royal Palaces,Luxury Hotel,Summer,3,Relaxation,72597,Rajasthan
Backpacking Trip,Religious Town,Heritage Hotel,Spring,9,Trekking,72597,Uttar Pradesh
Solo Trip,Royal Palaces,Homestay,Autumn,9,Scuba Diving,72597,Rajasthan
Adventure Trip,Backwaters,Heritage Hotel,Autumn,2,Camping,72597,Kerala
Honeymoon Trip,Religious Town,Houseboat,Autumn,8,Honeymoon Cruise,72597,Uttar Pradesh
Solo Trip,Deserts,Camping,Winter,4,Scuba Diving,72597,Rajasthan
Family Trip,Temple Town,Beachfront Villa,Autumn,2,Relaxation,72597,Maharashtra
Wildlife Trip,Forest,Hostel Dorm,Autumn,2,Safari,72597,Maharashtra
Backpacking Trip,Mountains,Houseboat,Summer,5,Camping,72597,Jammu and Kashmir
Solo Trip,Mountains,Houseboat,Spring,9,Relaxation,72597,Ladakh
Backpacking Trip,Backwaters,Camping,Monsoon,10,Heritage Walk,72597,Kerala
Romantic Getaway,Mountains,Ashram Accommodation,Winter,9,Honeymoon Cruise,72597,Uttarakhand
Adventure Trip,Beach,Houseboat,Monsoon,8,Trekking,72597,Andaman & Nicobar Islands
Solo Trip,French Colony,Jungle Lodge,Spring,7,Motorcycling,72597,Puducherry
Cultural Trip,Temples,Beachfront Resort,Spring,2,Heritage Walk,72597,Madhya Pradesh
Cultural Trip,Backwaters,Hostel Dorm,Monsoon,7,Temple hopping,72597,Kerala
Backpacking Trip,Religious Town,Jungle Lodge,Monsoon,2,Trekking,72597,Uttar Pradesh
Pilgrimage Trip,French Colony,Heritage Hotel,Spring,5,Religious visit,72597,Puducherry
Adventure Trip,Religious Town,Luxury Hotel,Winter,3,Camping,72597,Uttar Pradesh
Solo Trip,Religious Town,Heritage Hotel,Winter,7,Relaxation,72597,Uttar Pradesh
Cultural Trip,Islands,Jungle Lodge,Monsoon,4,Heritage Walk,72597,Andaman & Nicobar Islands
Adventure Trip,Royal Palaces,Ashram Accommodation,Summer,3,Trekking,72597,Rajasthan
Honeymoon Trip,Forest,Camping,Spring,4,Honeymoon Cruise,72597,Maharashtra
Honeymoon Trip,Backwaters,Homestay,Monsoon,8,Scuba Diving,72597,Kerala
Honeymoon Trip,French Colony,Homestay,Winter,10,Scuba Diving,72597,Puducherry
Family Trip,Mountains,Homestay,Spring,5,Relaxation,72597,Jammu and Kashmir
Solo Trip,Mountains,Camping,Winter,4,Motorcycling,72597,Uttarakhand
Romantic Getaway,Backwaters,Heritage Hotel,Autumn,10,Ayurvedic Spa,72597,Kerala
Adventure Trip,Beach,Ashram Accommodation,Winter,5,Scuba Diving,72597,Goa
Family Trip,Mountains,Beachfront Resort,Spring,10,Heritage Walk,72597,Jammu and Kashmir
Backpacking Trip,Mountains,Ashram Accommodation,Winter,7,Trekking,72597,Jammu and Kashmir
Adventure Trip,Deserts,Beachfront Resort,Monsoon,5,Camping,72597,Rajasthan
Solo Trip,Hills,Ashram Accommodation,Monsoon,9,Skiing,72597,Kerala
Backpacking Trip,Temple Town,Ashram Accommodation,Winter,8,Camping,72597,Maharashtra
Solo Trip,Mountains,Heritage Hotel,Summer,7,Scuba Diving,72597,Uttarakhand
Pilgrimage Trip,Hills,Beachfront Villa,Summer,9,Religious visit,72597,Kerala
Adventure Trip,Desert,Luxury Hotel,Spring,3,Trekking,72597,Ladakh
Adventure Trip,Beach,Camping,Summer,8,Scuba Diving,72597,Goa
Group Trip,Temple Town,Ashram Accommodation,Autumn,6,Relaxation,72597,Maharashtra
Backpacking Trip,Religious Town,Jungle Lodge,Autumn,7,Heritage Walk,72597,Uttar Pradesh
Backpacking Trip,Temples,Camping,Monsoon,3,Camping,72597,Madhya Pradesh
Honeymoon Trip,French Colony,Jungle Lodge,Winter,8,Sightseeing,72597,Puducherry
Family Trip,Mountains,Luxury Hotel,Winter,7,Heritage Walk,72597,Ladakh
Adventure Trip,Islands,Ashram Accommodation,Winter,4,White Water Rafting,72597,Andaman & Nicobar Islands
Group Trip,Forest,Luxury Hotel,Monsoon,8,Temple hopping,72597,Madhya Pradesh
Pilgrimage Trip,Religious Town,Camping,Winter,2,Religious visit,72597,Uttar Pradesh
Backpacking Trip,Beach,Jungle Lodge,Summer,4,Heritage Walk,72597,Goa
Group Trip,French Colony,Beachfront Villa,Spring,8,Sightseeing,72597,Puducherry
Wildlife Trip,Beach,Jungle Lodge,Autumn,4,Safari,72597,Andaman & Nicobar Islands
Adventure Trip,Backwaters,Beachfront Resort,Monsoon,4,White Water Rafting,72597,Kerala
Honeymoon Trip,Temples,Jungle Lodge,Summer,7,Ayurvedic Spa,72597,Madhya Pradesh
Pilgrimage Trip,Beach,Hostel Dorm,Monsoon,8,Religious visit,72597,Goa
Pilgrimage Trip,Forest,Hostel Dorm,Spring,7,Religious visit,72597,Maharashtra
Backpacking Trip,Forest,Beachfront Villa,Winter,2,Trekking,72597,Madhya Pradesh
Family Trip,City,Heritage Hotel,Winter,5,Toy Train Ride,72597,Uttar Pradesh
Wildlife Trip,French Colony,Heritage Hotel,Winter,10,Safari,72597,Puducherry
Solo Trip,Mountains,Luxury Hotel,Summer,5,Skiing,72597,Uttarakhand
Family Trip,Mountains,Houseboat,Spring,3,Ayurvedic Spa,72597,Himachal Pradesh
Solo Trip,Hills,Heritage Hotel,Winter,7,Scuba Diving,72597,Kerala
Backpacking Trip,Forest,Luxury Hotel,Summer,9,Heritage Walk,72597,Maharashtra
Solo Trip,Mountains,Beachfront Villa,Winter,4,Motorcycling,72597,Uttarakhand
Romantic Getaway,Deserts,Luxury Hotel,Monsoon,6,Scuba Diving,72597,Rajasthan
Backpacking Trip,Mountains,Luxury Hotel,Spring,5,Motorcycling,72597,Ladakh
Wildlife Trip,Backwaters,Beachfront Villa,Summer,8,Safari,72597,Kerala
Adventure Trip,Mountains,Beachfront Villa,Autumn,8,Scuba Diving,72597,Jammu and Kashmir
Backpacking Trip,Forest,Homestay,Monsoon,7,Motorcycling,72597,Maharashtra
Wildlife Trip,Royal Palaces,Beachfront Resort,Autumn,9,Safari,72597,Rajasthan
Wildlife Trip,Temple Town,Camping,Spring,3,Safari,72597,Maharashtra
Honeymoon Trip,Religious Town,Beachfront Resort,Spring,6,Scuba Diving,72597,Uttar Pradesh
Honeymoon Trip,Religious Town,Beachfront Villa,Winter,3,Relaxation,72597,Uttar Pradesh
Romantic Getaway,Mountains,Camping,Autumn,5,Honeymoon Cruise,72597,Jammu and Kashmir
Wildlife Trip,French Colony,Houseboat,Summer,7,Safari,72597,Puducherry
Pilgrimage Trip,Backwaters,Houseboat,Autumn,10,Religious visit,72597,Kerala
Honeymoon Trip,Temples,Beachfront Villa,Spring,2,Relaxation,72597,Madhya Pradesh
Family Trip,Religious Town,Heritage Hotel,Summer,4,Toy Train Ride,72597,Uttar Pradesh
Honeymoon Trip,Mountains,Houseboat,Summer,10,Scuba Diving,72597,Ladakh
Cultural Trip,Backwaters,Camping,Spring,4,Heritage Walk,72597,Kerala
Pilgrimage Trip,Religious Town,Hostel Dorm,Spring,2,Religious visit,72597,Uttar Pradesh
Cultural Trip,Beach,Beachfront Resort,Autumn,9,Heritage Walk,72597,Goa
Honeymoon Trip,Forest,Heritage Hotel,Autumn,10,Relaxation,72597,Maharashtra
Adventure Trip,Beach,Houseboat,Spring,2,Motorcycling,72597,Andaman & Nicobar Islands
Backpacking Trip,Temple Town,Heritage Hotel,Summer,3,Camping,72597,Maharashtra
Wildlife Trip,Beach,Luxury Hotel,Autumn,4,Safari,72597,Goa
Backpacking Trip,Backwaters,Houseboat,Spring,5,Trekking,72597,Kerala
Adventure Trip,City,Heritage Hotel,Winter,5,Trekking,72597,Uttar Pradesh
Group Trip,City,Camping,Summer,5,Relaxation,72597,Uttar Pradesh
Backpacking Trip,Mountains,Beachfront Resort,Summer,9,Motorcycling,72597,Himachal Pradesh
Adventure Trip,Backwaters,Heritage Hotel,Monsoon,2,Motorcycling,72597,Kerala
Wildlife Trip,Backwaters,Beachfront Villa,Monsoon,7,Safari,72597,Kerala
Group Trip,Forest,Beachfront Resort,Autumn,4,Relaxation,72597,Maharashtra
Wildlife Trip,Hills,Heritage Hotel,Monsoon,8,Safari,72597,Kerala
Adventure Trip,Temples,Ashram Accommodation,Spring,7,Camping,72597,Madhya Pradesh
Cultural Trip,Royal Palaces,Beachfront Villa,Spring,10,Temple hopping,72597,Rajasthan
Honeymoon Trip,Temples,Camping,Monsoon,4,Ayurvedic Spa,72597,Madhya Pradesh
Backpacking Trip,Royal Palaces,Hostel Dorm,Autumn,6,Motorcycling,72597,Rajasthan
Backpacking Trip,Mountains,Luxury Hotel,Autumn,6,Motorcycling,72597,Himachal Pradesh
Cultural Trip,Backwaters,Beachfront Villa,Summer,10,Temple hopping,72597,Kerala
Wildlife Trip,Mountains,Beachfront Villa,Spring,5,Safari,72597,Ladakh
Wildlife Trip,Hills,Ashram Accommodation,Summer,4,Safari,72597,Kerala
Romantic Getaway,Islands,Homestay,Summer,6,Scuba Diving,72597,Andaman & Nicobar Islands
Group Trip,French Colony,Hostel Dorm,Winter,7,Heritage Walk,72597,Puducherry
Cultural Trip,Backwaters,Homestay,Spring,2,Heritage Walk,72597,Kerala
Solo Trip,Forest,Camping,Spring,7,Scuba Diving,72597,Maharashtra
Honeymoon Trip,City,Hostel Dorm,Monsoon,10,Honeymoon Cruise,72597,Uttar Pradesh
Honeymoon Trip,Mountains,Houseboat,Autumn,10,Honeymoon Cruise,72597,Jammu and Kashmir
Backpacking Trip,Mountains,Houseboat,Autumn,6,Trekking,72597,Himachal Pradesh
Group Trip,Temples,Camping,Summer,3,Sightseeing,72597,Madhya Pradesh
Romantic Getaway,Mountains,Luxury Hotel,Autumn,3,Scuba Diving,72597,Himachal Pradesh
Family Trip,Beach,Ashram Accommodation,Winter,4,Toy Train Ride,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Forest,Ashram Accommodation,Autumn,2,Religious visit,72597,Maharashtra
Wildlife Trip,Mountains,Heritage Hotel,Winter,10,Safari,72597,Ladakh
Family Trip,Backwaters,Ashram Accommodation,Summer,3,Sightseeing,72597,Kerala
Backpacking Trip,Beach,Beachfront Villa,Winter,4,Heritage Walk,72597,Goa
Group Trip,Royal Palaces,Camping,Autumn,3,Heritage Walk,72597,Rajasthan
Backpacking Trip,Mountains,Beachfront Villa,Autumn,8,Camping,72597,Ladakh
Adventure Trip,Beach,Beachfront Resort,Autumn,6,White Water Rafting,72597,Andaman & Nicobar Islands
Group Trip,Hills,Luxury Hotel,Spring,6,Sightseeing,72597,Kerala
Backpacking Trip,Desert,Houseboat,Winter,4,Heritage Walk,72597,Ladakh
Backpacking Trip,Royal Palaces,Hostel Dorm,Autumn,2,Trekking,72597,Rajasthan
Solo Trip,Forest,Homestay,Monsoon,5,Skiing,72597,Maharashtra
Wildlife Trip,Mountains,Houseboat,Autumn,10,Safari,72597,Himachal Pradesh
Wildlife Trip,Forest,Camping,Autumn,3,Safari,72597,Maharashtra
Group Trip,Hills,Houseboat,Monsoon,8,Sightseeing,72597,Kerala
Backpacking Trip,City,Jungle Lodge,Autumn,9,Trekking,72597,Uttar Pradesh
Solo Trip,Forest,Heritage Hotel,Autumn,2,Scuba Diving,72597,Madhya Pradesh
Cultural Trip,Backwaters,Ashram Accommodation,Winter,6,Heritage Walk,72597,Kerala
Cultural Trip,Temple Town,Homestay,Spring,10,Temple hopping,72597,Maharashtra
Cultural Trip,French Colony,Houseboat,Spring,2,Heritage Walk,72597,Puducherry
Solo Trip,Temples,Houseboat,Monsoon,9,Skiing,72597,Madhya Pradesh
Pilgrimage Trip,Temples,Camping,Autumn,10,Religious visit,72597,Madhya Pradesh
Solo Trip,Hills,Luxury Hotel,Monsoon,7,Scuba Diving,72597,West Bengal
Family Trip,Forest,Hostel Dorm,Spring,6,Sightseeing,72597,Madhya Pradesh
Backpacking Trip,Mountains,Ashram Accommodation,Spring,6,Motorcycling,72597,Himachal Pradesh
Family Trip,Forest,Heritage Hotel,Summer,6,Heritage Walk,72597,Madhya Pradesh
Honeymoon Trip,French Colony,Beachfront Villa,Monsoon,9,Relaxation,72597,Puducherry
Backpacking Trip,Mountains,Jungle Lodge,Winter,2,Motorcycling,72597,Himachal Pradesh
Wildlife Trip,Religious Town,Ashram Accommodation,Monsoon,6,Safari,72597,Uttar Pradesh
Cultural Trip,Hills,Hostel Dorm,Spring,8,Heritage Walk,72597,West Bengal
Cultural Trip,Forest,Houseboat,Monsoon,9,Heritage Walk,72597,Madhya Pradesh
Honeymoon Trip,Backwaters,Homestay,Spring,9,Relaxation,72597,Kerala
Group Trip,Backwaters,Hostel Dorm,Summer,2,Temple hopping,72597,Kerala
Wildlife Trip,Mountains,Hostel Dorm,Spring,8,Safari,72597,Uttarakhand
Cultural Trip,Deserts,Ashram Accommodation,Autumn,6,Heritage Walk,72597,Rajasthan
Adventure Trip,Mountains,Jungle Lodge,Summer,10,Trekking,72597,Uttarakhand
Honeymoon Trip,Mountains,Beachfront Resort,Autumn,6,Ayurvedic Spa,72597,Himachal Pradesh
Backpacking Trip,Temple Town,Homestay,Winter,8,Heritage Walk,72597,Maharashtra
Romantic Getaway,Temples,Homestay,Winter,4,Ayurvedic Spa,72597,Madhya Pradesh
Group Trip,Mountains,Ashram Accommodation,Monsoon,6,Sightseeing,72597,Uttarakhand
Adventure Trip,City,Camping,Autumn,3,White Water Rafting,72597,Uttar Pradesh
Solo Trip,Forest,Luxury Hotel,Autumn,9,Scuba Diving,72597,Maharashtra
Cultural Trip,Mountains,Houseboat,Spring,10,Temple hopping,72597,Himachal Pradesh
Backpacking Trip,Mountains,Jungle Lodge,Spring,4,Camping,72597,Ladakh
Wildlife Trip,French Colony,Houseboat,Monsoon,3,Safari,72597,Puducherry
